uni_id,unique_id_count
1261_RET,319
2055_RET,195
1120_RET,154
1418_RET,143
2149_RET,141
1281_RET,78
1127_RET,263
2014_RET,161
1505_RET,138
1526_RET,98
2038_RET,53
1215_RET,135
1244_RET,241
1224_RET,210
1262_RET,141
1272_RET,241
2043_RET,114
1106_RET,143
1201_RET,260
1426_RET,87
1508_RET,60
1213_RET,148
1430_RET,61
1221_RET,70
1225_RET,252
1251_RET,153
1422_RET,148
2008_RET,76
2036_RET,90
1117_RET,148
1209_RET,285
1210_RET,127
1229_RET,146
1401_RET,84
1409_RET,50
1415_RET,51
1431_RET,94
1441_RET,1
1502_RET,103
1529_RET,97
2005_RET,119
2146_RET,122
359_RET,1
1102_RET,1
1104_RET,1
1107_RET,1
1108_RET,1
1109_RET,1
2136_RET,1
2135_RET,1
2134_RET,1
2133_RET,1
2131_RET,1
2130_RET,1
2129_RET,1
2127_RET,1
2126_RET,1
2123_RET,1
2122_RET,1
2121_RET,1
2120_RET,1
2117_RET,1
2116_RET,1
2114_RET,1
1212_RET,1
1211_RET,1
1207_RET,1
1206_RET,1
1204_RET,1
1203_RET,1
1202_RET,1
1140_RET,1
1138_RET,1
1137_RET,1
1136_RET,1
1135_RET,1
1133_RET,1
1228_RET,1
1227_RET,1
1226_RET,1
1222_RET,1
1220_RET,1
1219_RET,1
1218_RET,1
1217_RET,1
1216_RET,1
1214_RET,1
1247_RET,1
1246_RET,1
1245_RET,1
1243_RET,1
1242_RET,1
1241_RET,1
1240_RET,1
1239_RET,1
1237_RET,1
1236_RET,1
1235_RET,1
1234_RET,1
1233_RET,1
1231_RET,1
1230_RET,1
1265_RET,1
1264_RET,1
1263_RET,1
1259_RET,1
1258_RET,1
1256_RET,1
1255_RET,1
1254_RET,1
1253_RET,1
1252_RET,1
1250_RET,1
1249_RET,1
1248_RET,1
1284_RET,1
1282_RET,1
1280_RET,1
1279_RET,1
1278_RET,1
1276_RET,1
1275_RET,1
1274_RET,1
1273_RET,1
1271_RET,1
1269_RET,1
1268_RET,1
1267_RET,1
1266_RET,1
1299_RET,1
1298_RET,1
1297_RET,1
1296_RET,1
1295_RET,1
1294_RET,1
1293_RET,1
1292_RET,1
1291_RET,1
1290_RET,1
1289_RET,1
1288_RET,1
1287_RET,1
1286_RET,1
1285_RET,1
1424_RET,1
1420_RET,1
1419_RET,1
1417_RET,1
1416_RET,1
1414_RET,1
1413_RET,1
1411_RET,1
1410_RET,1
1407_RET,1
1405_RET,1
1403_RET,1
1445_RET,1
1443_RET,1
1442_RET,1
1440_RET,1
1438_RET,1
1436_RET,1
1435_RET,1
1433_RET,1
1432_RET,1
1429_RET,1
1428_RET,1
1425_RET,1
1511_RET,1
1510_RET,1
1509_RET,1
1507_RET,1
1504_RET,1
1503_RET,1
1453_RET,1
1452_RET,1
1451_RET,1
1450_RET,1
1448_RET,1
1447_RET,1
1446_RET,1
1527_RET,1
1525_RET,1
1524_RET,1
1523_RET,1
1522_RET,1
1521_RET,1
1520_RET,1
1519_RET,1
1518_RET,1
1517_RET,1
1516_RET,1
1515_RET,1
1514_RET,1
1513_RET,1
1512_RET,1
2002_RET,1
2001_RET,1
1541_RET,1
1540_RET,1
1539_RET,1
1538_RET,1
1537_RET,1
1536_RET,1
1535_RET,1
1534_RET,1
1533_RET,1
1532_RET,1
1531_RET,1
1530_RET,1
1528_RET,1
2029_RET,1
2027_RET,1
2026_RET,1
2024_RET,1
2023_RET,1
2020_RET,1
2017_RET,1
2013_RET,1
2012_RET,1
2007_RET,1
2006_RET,1
2004_RET,1
2003_RET,1
2051_RET,1
2049_RET,1
2048_RET,1
2047_RET,1
2046_RET,1
2045_RET,1
2041_RET,1
2039_RET,1
2037_RET,1
2034_RET,1
2033_RET,1
2032_RET,1
2030_RET,1
2113_RET,1
2111_RET,1
2110_RET,1
2109_RET,1
2108_RET,1
2107_RET,1
2106_RET,1
2105_RET,1
2103_RET,1
2102_RET,1
2101_RET,1
2060_RET,1
2058_RET,1
2054_RET,1
2053_RET,1
1110_RET,1
356_RET,1
347_RET,1
312_RET,1
2152_RET,1
2151_RET,1
2150_RET,1
2148_RET,1
2147_RET,1
2143_RET,1
2140_RET,1
2139_RET,1
2138_RET,1
2137_RET,1
1132_RET,1
1131_RET,1
1129_RET,1
1128_RET,1
1126_RET,1
1124_RET,1
1122_RET,1
1121_RET,1
1118_RET,1
1116_RET,1
1115_RET,1
1114_RET,1
1112_RET,1
