uni_id,unique_id_count
1236_RET,382
2110_RET,331
356_RET,337
2038_RET,237
1278_RET,80
1535_RET,142
1244_RET,366
1120_RET,158
1127_RET,340
1212_RET,330
2149_RET,141
1408_RET,138
1215_RET,332
1416_RET,141
1225_RET,345
1235_RET,367
1262_RET,315
1247_RET,366
1417_RET,87
1221_RET,70
1246_RET,300
1256_RET,227
1265_RET,278
1430_RET,149
2014_RET,206
2039_RET,197
1104_RET,154
1128_RET,348
1210_RET,336
1223_RET,329
1281_RET,78
1401_RET,86
1409_RET,145
1422_RET,150
1441_RET,1
1502_RET,170
1529_RET,101
2059_RET,122
1226_RET,379
1255_RET,377
1264_RET,371
1276_RET,369
1209_RET,368
1248_RET,361
1222_RET,360
1254_RET,358
1253_RET,355
1261_RET,353
1230_RET,352
1272_RET,348
1268_RET,342
1220_RET,342
1275_RET,342
1201_RET,342
1228_RET,341
1267_RET,339
1249_RET,338
1242_RET,333
1237_RET,331
1250_RET,330
1269_RET,320
1258_RET,319
1131_RET,318
2055_RET,317
1266_RET,317
1227_RET,317
1135_RET,314
1211_RET,313
1274_RET,312
1241_RET,312
1273_RET,311
1270_RET,310
1224_RET,309
1132_RET,308
2006_RET,307
1217_RET,306
1234_RET,306
1206_RET,303
1252_RET,301
1263_RET,300
1240_RET,300
1213_RET,299
2003_RET,298
1216_RET,293
1203_RET,293
1202_RET,289
1121_RET,285
2107_RET,284
1133_RET,279
1271_RET,276
1122_RET,275
1137_RET,275
2140_RET,272
2139_RET,272
1129_RET,268
1138_RET,267
1204_RET,266
2024_RET,263
2130_RET,263
1259_RET,255
2030_RET,252
1233_RET,251
1245_RET,251
2103_RET,249
2143_RET,245
358_RET,244
1239_RET,240
1140_RET,240
1207_RET,239
1277_RET,239
1126_RET,226
1440_RET,225
2123_RET,224
2106_RET,222
2117_RET,218
2033_RET,218
2051_RET,218
2034_RET,217
1214_RET,215
1425_RET,210
1136_RET,209
1419_RET,207
1519_RET,207
2104_RET,204
1505_RET,203
1124_RET,203
2036_RET,202
2109_RET,202
2138_RET,202
2007_RET,202
2027_RET,201
2148_RET,201
2054_RET,199
2137_RET,198
2004_RET,197
2045_RET,196
2057_RET,196
2147_RET,191
2134_RET,190
2026_RET,190
2013_RET,189
2041_RET,189
1218_RET,187
2142_RET,184
354_RET,182
1523_RET,180
1420_RET,179
1403_RET,176
1433_RET,171
1411_RET,168
2133_RET,167
1436_RET,167
2048_RET,164
2120_RET,164
2037_RET,164
2135_RET,163
1504_RET,163
2046_RET,163
1418_RET,163
2121_RET,163
2058_RET,163
2113_RET,162
2151_RET,161
1423_RET,161
1118_RET,158
1229_RET,158
2108_RET,157
2127_RET,157
1521_RET,157
2020_RET,157
1109_RET,157
1106_RET,155
1251_RET,155
1112_RET,155
1428_RET,155
2017_RET,154
1102_RET,154
1107_RET,154
1117_RET,154
1108_RET,154
1116_RET,154
1114_RET,153
1110_RET,153
2105_RET,152
1511_RET,150
1105_RET,146
1413_RET,146
1115_RET,145
1243_RET,145
1510_RET,145
1508_RET,144
1407_RET,143
2023_RET,142
1424_RET,141
1415_RET,138
1426_RET,137
1410_RET,137
1514_RET,136
1435_RET,135
1219_RET,134
1531_RET,133
1238_RET,132
2032_RET,130
1534_RET,129
1518_RET,127
2008_RET,126
2101_RET,126
1516_RET,122
2047_RET,122
2011_RET,122
2146_RET,122
2052_RET,122
2136_RET,122
2049_RET,121
2005_RET,121
2119_RET,120
2060_RET,120
2044_RET,120
2111_RET,120
2145_RET,120
2122_RET,120
2114_RET,119
2012_RET,119
2010_RET,119
2153_RET,119
2053_RET,119
2115_RET,119
2116_RET,119
2029_RET,119
2152_RET,118
2028_RET,118
2144_RET,118
2131_RET,118
2042_RET,118
1512_RET,118
2001_RET,116
2126_RET,116
2043_RET,115
2129_RET,113
1414_RET,110
1525_RET,108
1503_RET,106
1515_RET,105
1507_RET,105
1513_RET,103
1517_RET,103
1524_RET,103
1533_RET,101
1537_RET,101
1527_RET,100
319_RET,100
1522_RET,100
1526_RET,99
1509_RET,99
1542_RET,99
1530_RET,99
306_RET,99
1520_RET,99
1541_RET,98
1539_RET,98
1532_RET,98
1540_RET,98
1528_RET,97
1506_RET,97
2002_RET,96
1501_RET,95
1538_RET,95
1431_RET,94
1231_RET,92
1536_RET,91
2150_RET,91
1260_RET,90
1432_RET,89
1406_RET,88
1437_RET,86
1412_RET,84
1438_RET,82
1280_RET,77
1282_RET,77
1286_RET,77
2102_RET,76
1279_RET,76
1285_RET,75
1284_RET,74
350_RET,72
347_RET,71
1439_RET,71
1434_RET,70
1405_RET,48
316_RET,48
1427_RET,48
1429_RET,48
1447_RET,34
359_RET,5
1421_RET,3
1292_RET,2
1294_RET,2
1295_RET,2
312_RET,2
1297_RET,2
1298_RET,2
1299_RET,2
1296_RET,2
1291_RET,2
1290_RET,2
1289_RET,2
1288_RET,2
1287_RET,2
1293_RET,2
1450_RET,1
1451_RET,1
1445_RET,1
1444_RET,1
1452_RET,1
1449_RET,1
1448_RET,1
1446_RET,1
1442_RET,1
1443_RET,1
1453_RET,1
