uni_id,unique_id_count
1113_HTM,667
5036_HTM,348
1132_HTM,577
5032_HTM,231
4067_HTM,260
3117_HTM,236
1114_HTM,516
1119_HTM,657
1065_HTM,496
4028_HTM,116
1059_HTM,448
1062_HTM,527
3045_HTM,101
1417_HTM,593
1104_HTM,608
5017_HTM,295
1030_HTM,339
1069_HTM,645
1105_HTM,531
1430_HTM,612
4005_HTM,184
1115_HTM,657
1026_HTM,641
1071_HTM,631
1087_HTM,629
1416_HTM,625
1078_HTM,624
1051_HTM,621
1038_HTM,618
1022_HTM,618
1210_HTM,614
1408_HTM,613
1438_HTM,612
1091_HTM,608
1422_HTM,606
1092_HTM,603
1007_HTM,597
1057_HTM,595
1010_HTM,593
1004_HTM,592
1407_HTM,590
1106_HTM,580
1005_HTM,573
1019_HTM,572
1066_HTM,572
1014_HTM,571
1421_HTM,571
1410_HTM,567
1107_HTM,566
1110_HTM,560
1419_HTM,557
1023_HTM,556
1011_HTM,556
1017_HTM,555
1098_HTM,554
1028_HTM,552
1085_HTM,551
1414_HTM,551
1077_HTM,550
1003_HTM,549
1015_HTM,549
1403_HTM,543
1433_HTM,543
1103_HTM,543
1074_HTM,542
1006_HTM,541
1008_HTM,541
1047_HTM,538
1420_HTM,536
1076_HTM,532
1427_HTM,530
1112_HTM,529
1404_HTM,525
1101_HTM,525
1432_HTM,519
1405_HTM,519
1063_HTM,517
1425_HTM,517
1412_HTM,516
1096_HTM,514
1102_HTM,508
1055_HTM,508
1020_HTM,506
1061_HTM,501
1032_HTM,497
1013_HTM,491
1423_HTM,489
1415_HTM,488
1054_HTM,484
1088_HTM,482
1016_HTM,482
1437_HTM,481
1207_HTM,475
1413_HTM,471
1049_HTM,469
1018_HTM,464
1034_HTM,463
1090_HTM,458
1064_HTM,450
1079_HTM,447
1081_HTM,446
1109_HTM,446
1436_HTM,443
1036_HTM,434
1431_HTM,431
1031_HTM,427
1086_HTM,424
1099_HTM,424
1053_HTM,416
1056_HTM,409
1426_HTM,405
1434_HTM,401
1108_HTM,400
1094_HTM,396
1040_HTM,383
1118_HTM,378
1029_HTM,375
2007_HTM,373
1072_HTM,371
1080_HTM,370
1033_HTM,367
5011_HTM,345
1117_HTM,341
2001_HTM,326
5055_HTM,324
1001_HTM,319
5014_HTM,303
5051_HTM,303
5037_HTM,302
2003_HTM,297
5067_HTM,295
5007_HTM,295
5061_HTM,295
5058_HTM,295
5016_HTM,294
1089_HTM,288
2004_HTM,282
1073_HTM,281
1504_HTM,280
1506_HTM,270
1503_HTM,268
1435_HTM,267
1111_HTM,265
1067_HTM,261
5064_HTM,248
5029_HTM,246
4033_HTM,242
5030_HTM,241
5023_HTM,241
5063_HTM,241
5008_HTM,241
5013_HTM,240
5010_HTM,240
3124_HTM,239
3114_HTM,239
5062_HTM,238
5042_HTM,238
4063_HTM,238
4034_HTM,237
5031_HTM,236
5035_HTM,236
1505_HTM,236
5066_HTM,236
3106_HTM,234
4016_HTM,234
3119_HTM,232
2006_HTM,231
4029_HTM,230
3128_HTM,228
3111_HTM,227
3104_HTM,227
5026_HTM,222
5021_HTM,221
5002_HTM,220
2002_HTM,220
5068_HTM,217
5015_HTM,217
5028_HTM,215
5024_HTM,215
4064_HTM,212
4032_HTM,212
4049_HTM,210
5020_HTM,209
5025_HTM,208
5012_HTM,207
4070_HTM,204
5006_HTM,199
5018_HTM,199
5056_HTM,199
4010_HTM,191
4012_HTM,189
4022_HTM,188
4031_HTM,184
4057_HTM,183
4011_HTM,181
4051_HTM,181
4046_HTM,180
4062_HTM,180
4040_HTM,180
4058_HTM,180
4021_HTM,180
4006_HTM,178
4060_HTM,177
4037_HTM,177
4035_HTM,175
4043_HTM,173
4024_HTM,173
4053_HTM,172
4002_HTM,172
3109_HTM,171
3122_HTM,171
4072_HTM,171
4013_HTM,167
4020_HTM,163
3118_HTM,162
4025_HTM,162
3121_HTM,160
3113_HTM,160
3110_HTM,159
3137_HTM,158
3134_HTM,158
3142_HTM,158
3143_HTM,157
3136_HTM,157
3126_HTM,156
3144_HTM,156
5033_HTM,154
5052_HTM,153
5034_HTM,152
5070_HTM,152
3120_HTM,152
3125_HTM,151
3145_HTM,151
3098_HTM,149
3101_HTM,147
3147_HTM,141
5059_HTM,139
5003_HTM,131
5022_HTM,130
4052_HTM,120
4042_HTM,119
3108_HTM,118
4069_HTM,117
4018_HTM,117
4068_HTM,117
4009_HTM,116
5049_HTM,115
5054_HTM,115
4055_HTM,115
4054_HTM,115
5044_HTM,114
5065_HTM,114
5053_HTM,114
5043_HTM,113
4041_HTM,113
3052_HTM,113
4008_HTM,113
4004_HTM,113
5045_HTM,112
4014_HTM,112
4061_HTM,111
4003_HTM,111
4038_HTM,111
4027_HTM,110
4039_HTM,110
4059_HTM,110
4048_HTM,109
4047_HTM,108
5004_HTM,107
5041_HTM,107
5060_HTM,106
4044_HTM,106
4036_HTM,106
4066_HTM,106
4045_HTM,105
5057_HTM,105
3065_HTM,104
3050_HTM,103
3072_HTM,103
4050_HTM,103
3090_HTM,103
3086_HTM,102
3089_HTM,101
3133_HTM,101
3080_HTM,101
3071_HTM,100
3095_HTM,100
3131_HTM,99
3130_HTM,99
4065_HTM,99
4017_HTM,99
5046_HTM,98
4026_HTM,98
5048_HTM,97
5038_HTM,95
3138_HTM,93
5005_HTM,93
5040_HTM,92
5009_HTM,92
3103_HTM,91
3105_HTM,90
3146_HTM,90
3112_HTM,90
3135_HTM,89
3115_HTM,89
