uni_id,unique_id_count
4152_UOV,535
4801_UOV,384
4146_UOV,410
4326_UOV,60
4307_UOV,157
4018_UOV,292
6011_UOV,44
3445_UOV,201
4806_UOV,325
4145_UOV,334
4660_UOV,321
3337_UOV,358
3339_UOV,162
4149_UOV,352
2653_UOV,511
4009_UOV,509
4006_UOV,504
4013_UOV,498
4007_UOV,491
4011_UOV,487
2652_UOV,487
2654_UOV,483
4002_UOV,482
2724_UOV,470
4008_UOV,468
4151_UOV,460
4014_UOV,458
4015_UOV,434
2204_UOV,428
4001_UOV,417
4012_UOV,415
4045_UOV,414
4046_UOV,413
4139_UOV,410
4005_UOV,409
4153_UOV,401
4030_UOV,388
4065_UOV,386
4019_UOV,385
4658_UOV,382
4043_UOV,381
3331_UOV,379
4150_UOV,376
4055_UOV,375
4130_UOV,375
4142_UOV,373
3334_UOV,365
4167_UOV,358
4137_UOV,356
4037_UOV,355
4655_UOV,353
4004_UOV,349
3340_UOV,349
4141_UOV,347
4132_UOV,346
3342_UOV,345
4155_UOV,344
4668_UOV,342
4042_UOV,342
3345_UOV,341
4052_UOV,341
4036_UOV,339
4049_UOV,339
3353_UOV,338
4063_UOV,337
4050_UOV,336
4112_UOV,335
4136_UOV,334
4038_UOV,331
4040_UOV,330
4035_UOV,330
4147_UOV,328
4133_UOV,327
4824_UOV,327
4026_UOV,325
4808_UOV,325
4060_UOV,324
4823_UOV,323
4129_UOV,322
4807_UOV,321
4804_UOV,319
4023_UOV,319
4047_UOV,318
4809_UOV,317
3341_UOV,317
4829_UOV,317
3333_UOV,317
4124_UOV,316
4154_UOV,315
4821_UOV,315
4822_UOV,314
4126_UOV,314
4156_UOV,312
4831_UOV,311
4816_UOV,309
4812_UOV,304
4064_UOV,302
4832_UOV,301
4828_UOV,301
4826_UOV,301
4811_UOV,300
4813_UOV,300
4830_UOV,300
4815_UOV,299
4820_UOV,299
3328_UOV,296
4817_UOV,296
4016_UOV,296
4138_UOV,292
3344_UOV,291
4131_UOV,290
4057_UOV,289
3338_UOV,288
4134_UOV,283
4062_UOV,278
4121_UOV,277
4664_UOV,272
4143_UOV,272
3343_UOV,268
4140_UOV,267
4020_UOV,261
4003_UOV,260
4654_UOV,258
4048_UOV,257
4127_UOV,256
4148_UOV,250
4027_UOV,249
4101_UOV,249
4104_UOV,247
3428_UOV,246
4032_UOV,246
4135_UOV,243
4024_UOV,242
4835_UOV,241
4113_UOV,240
4110_UOV,238
4105_UOV,237
4117_UOV,236
4107_UOV,235
4056_UOV,234
4158_UOV,233
4041_UOV,232
4034_UOV,232
4170_UOV,232
3512_UOV,232
3432_UOV,230
3431_UOV,227
3330_UOV,227
4144_UOV,227
4833_UOV,224
4114_UOV,223
4825_UOV,223
4810_UOV,222
4803_UOV,222
3429_UOV,221
3425_UOV,221
3439_UOV,220
4653_UOV,219
4805_UOV,218
4814_UOV,218
4108_UOV,217
4667_UOV,217
3351_UOV,214
4834_UOV,209
4160_UOV,208
4608_UOV,207
4669_UOV,207
4123_UOV,206
4028_UOV,206
4106_UOV,202
3433_UOV,200
4031_UOV,200
4116_UOV,199
4120_UOV,195
4168_UOV,195
4602_UOV,192
4169_UOV,187
4054_UOV,185
4103_UOV,185
3446_UOV,183
3440_UOV,181
3336_UOV,180
3329_UOV,179
4663_UOV,179
3447_UOV,178
4162_UOV,177
4161_UOV,174
4164_UOV,174
4176_UOV,173
3441_UOV,171
4227_UOV,171
4665_UOV,171
4604_UOV,166
4102_UOV,165
3426_UOV,164
4175_UOV,162
4603_UOV,161
4059_UOV,160
4223_UOV,160
4308_UOV,159
4226_UOV,157
4228_UOV,157
4119_UOV,157
4122_UOV,156
4174_UOV,155
